"","JOBFUNCOTHER","JOBTIME","GENDER","INVA","INVB","INVC","INVD","INVE","INVF","INVG","INVH","INVI","INVJ","INVK","INVL","INVM","INVN","ROLE","worktime","age_range","gender","team_size","USERA","USERB","USERC","USERD","USERE","USERF","INF.MNG","INF.UX","INF.DEV","INF.SLF","condexp","X3.3A","X3.3B","X3.3C","X3.3D","X3.3E","X3.3F","COMPANY"
"110","",36,"M",1,5,3,1,4,5,2,4,3,1,4,4,4,3,"Developer",36,"41-50","Male","11-20",5,1,5,2,4,3,5,5,5,5,"Yes, actively",5,1,4,4,5,3,"Reaktor"
"111","",60,"M",2,5,3,4,2,4,4,4,3,2,3,2,2,2,"Developer",60,"31-40","Male","11-20",4,1,3,4,4,4,5,5,5,5,"Yes, actively",3,2,4,4,4,4,"Reaktor"
"112","UX, Graphic Design, product design",60,"M",5,4,4,2,2,5,3,2,2,1,2,2,3,1,"UX designer",60,"31-40","Male","11-20",3,1,3,2,5,4,4,4,4,4,"Yes, actively",2,5,3,5,4,5,"Reaktor"
"113","",24,"M",2,5,2,3,3,4,2,2,2,2,2,3,2,2,"Developer",24,"31-40","Male","3-5",4,1,4,4,4,4,3,5,4,4,"Yes, actively",1,4,2,4,4,3,"Reaktor"
"114","",72,"M",5,5,2,3,2,3,2,4,4,2,3,3,3,3,"Developer",72,"31-40","Male","3-5",4,5,2,2,4,4,3,3,2,2,"Yes, actively",5,2,4,4,4,4,"Reaktor"
"115","",12,"M",3,5,2,3,3,2,2,4,2,NA,NA,NA,NA,2,"Developer",12,"31-40","Male","6-10",3,3,1,NA,4,3,3,3,3,3,"Never",4,2,4,3,3,4,"Reaktor"
"116","",12,"M",2,5,2,2,3,4,2,4,4,2,3,3,3,2,"Developer",12,"31-40","Male","3-5",4,3,2,4,4,3,3,4,2,2,"Occasionally",2,5,3,5,4,4,"Reaktor"
"117","",96,"M",2,5,2,4,2,3,2,2,3,2,2,2,3,3,"Developer",96,"41-50","Male","< 3",5,3,1,4,4,3,4,4,4,4,"Occasionally",3,5,5,4,4,4,"Reaktor"
"118","",72,"M",4,5,2,4,2,4,3,3,5,2,4,3,3,3,"Developer",72,"41-50","Male","6-10",5,4,4,4,4,4,2,5,3,4,"Occasionally",2,4,4,4,4,3,"Reaktor"
"119","",24,"F",3,4,2,NA,2,4,4,NA,NA,NA,2,3,2,NA,"UX designer",24,"21-30","Female","3-5",4,3,2,3,4,4,NA,4,3,2,NA,3,2,4,4,3,3,"Reaktor"
"120","",24,"M",4,5,2,3,3,3,1,4,4,3,NA,3,3,2,"Developer",24,"31-40","Male","3-5",5,4,4,4,4,4,3,3,3,3,"Occasionally",3,1,5,4,2,4,"Reaktor"
"121","",24,"M",4,5,NA,4,2,5,5,4,3,5,2,2,3,2,"UX designer",24,"31-40","Male","6-10",4,5,2,2,3,2,NA,NA,NA,2,"Yes, actively",2,2,4,3,2,3,"Reaktor"
"122","",48,NA,4,5,2,4,2,2,2,2,4,4,2,4,3,2,"Developer",48,"31-40",NA,"3-5",4,5,1,2,4,3,2,4,2,2,"Occasionally",4,2,4,4,4,4,"Reaktor"
"123","",120,"M",4,4,4,3,2,4,3,4,4,3,2,2,2,4,"Developer",120,"41-50","Male","6-10",4,NA,2,3,4,3,3,4,2,2,"Occasionally",4,5,4,5,4,4,"Reaktor"
